gene_name,Sort_score,Sort_rank
hsa-mir-551b,1.11E-05,1
C22orf31,2.36E-05,2
hsa-mir-320c-2,3.20E-05,3
PPP2R5C,4.15E-05,4
CNTRL,6.40E-05,5
EPC2,7.09E-05,6
hsa-mir-6814,8.40E-05,7
MYO7A,8.56E-05,8
SMC1B,8.64E-05,9
SRP54,9.52E-05,10
SMC5,0.00010234,11
LIPG,0.00011809,12
PRAMEF22,0.00014171,13
IL6ST,0.00016533,14
CAP2,0.00016595,15
CLEC3A,0.0002225,16
SLC30A9,0.00025777,17
CDK5R1,0.0002598,18
NonTargetingControlGuideForHuman_0010,0.00025982,19
PPP1R17,0.00028637,20
DCTN4,0.00030703,21
HP1BP3,0.00033305,22
CLCNKA,0.00033404,23
KDELR3,0.00035426,24
DPP7,0.00036439,25
CNPY3,0.00038535,26
SLC35F6,0.00040148,27
MAP2K3,0.00044871,28
TJAP1,0.00049593,29
OR10A5,0.00054316,30
hsa-mir-1538,0.00060392,31
LOXL1,0.00061345,32
RHNO1,0.00063096,33
PGLYRP2,0.0006376,34
KIAA1430,0.00073204,35
hsa-mir-624,0.00073573,36
hsa-mir-6794,0.00078709,37
MLL,0.00079349,38
FAM91A1,0.00082647,39
C4B,0.00082669,40
VPS41,0.00085701,41
APOL4,0.00086017,42
hsa-mir-576,0.00086452,43
TATDN3,0.00087368,44
hsa-mir-3187,0.00091299,45
hsa-mir-4280,0.00091431,46
LOC100287036,0.00092089,47
AMHR2,0.00092459,48
NEK9,0.0009681,49
VAV3,0.0009896,50
PTGFRN,0.0010153,51
BAGE3,0.0010253,52
NonTargetingControlGuideForHuman_0225,0.0010471,53
C2CD3,0.0010625,54
C19orf66,0.0011097,55
ZRANB2,0.0011135,56
MBTPS1,0.0011569,57
VCY,0.0011889,58
SERPINB9,0.0012041,59
ZMIZ1,0.0012513,60
ARNTL2,0.0012985,61
HRSP12,0.0013457,62
FANCA,0.0013929,63
LRCOL1,0.0014401,64
SLC30A2,0.0014873,65
PDZD7,0.0015345,66
FADS3,0.0015817,67
CCDC24,0.0015837,68
DUSP13,0.0016761,69
FAT1,0.0016791,70
hsa-mir-6831,0.0016853,71
C14orf105,0.0017233,72
ZNF25,0.0017412,73
SIK1,0.0017637,74
WDR92,0.0017704,75
GNRH1,0.0018176,76
C1orf43,0.0018619,77
ELL2,0.0018648,78
SLIT3,0.0018711,79
ASCC1,0.001912,80
hsa-mir-6079,0.0019187,81
MCCC1,0.0019366,82
CLCA2,0.0019592,83
DSTN,0.0020063,84
FAHD1,0.0020442,85
CRYBB3,0.0020759,86
RNF24,0.0020832,87
CFD,0.0021007,88
NCOA6,0.0021479,89
MCAM,0.0021572,90
FLT4,0.0021646,91
TMX4,0.0021771,92
LTBP4,0.002195,93
NUPR1L,0.0022422,94
SEL1L2,0.0022578,95
FBXW7,0.002291,96
hsa-mir-4639,0.0023125,97
ARMCX4,0.0023365,98
CSN2,0.0023837,99
TNFRSF25,0.0024287,100